2019-06-04 13:10:05,835 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-06-04 13:10:05,838 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2019-06-04 05:10:05.827701' AND `django_session`.`session_key` = 'mpbusypmwj7ynwi3maq8px9scxbebm79'); args=('2019-06-04 05:10:05.827701', 'mpbusypmwj7ynwi3maq8px9scxbebm79')
2019-06-04 13:10:05,842 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2019-06-04 13:10:05,851 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.003) SELECT `public_projectgroups`.`id`, `public_projectgroups`.`groupName`, `public_projectgroups`.`nickName`, `public_projectgroups`.`remark` FROM `public_projectgroups`; args=()
2019-06-04 13:10:05,860 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.004) None; args=(1,)
2019-06-04 13:10:05,892 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.003) None; args=(1,)
2019-06-04 13:10:05,895 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.002) None; args=(1,)
2019-06-04 13:10:05,898 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.002) None; args=(1,)
2019-06-04 13:10:05,904 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.002) None; args=(1,)
2019-06-04 13:29:08,237 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-06-04 13:29:08,238 DEBUG execute /Users/Rx_nlqs/envPy3.5/lib/python3.5/site-packages/django/db/backends/utils.py:111 (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
